Radiokallesignal (ERS);mmsi
LFJE;659561000
LEUL;257033780
LEPY;257193000
LFAZ;258051000
LEPP;257037710
LENG;257031510
LFOA;257045610
LFOB;251213000
LFAY;257056730
LHYH;258501000
LFAR;257058070
LEYN;257386000
LEYU;257044820
LFTO;257404000
LEPQ;257062150
LFOC;257046460
LFSY;257061650
LDXP;257418000
LFEH;257046470
LFSW;257064490
LEZY;257400000
LFBC;257068490
LFIZ;257070440
LFOR;257069830
LESF;257073100
LFFK;257076300
LFUO;257076860
LFYI;257078560
LFYD;257086490
LGBG;257088960
LHFK;257500000
LFAJ;257088050
LFLJ;257489000
LFLF;257487000
LGFQ;257521000
LFNT;257089790
LFZR;257087170
LFKX;257503000
LFGY;257499000
LGFV;257566000
LFUP;257090430
LFRA;257093370
LFUD;257088310
LGAC;257091810
LGJB;257585000
LFMO;257097470
LFON;257095070
LAEZ7;259758000
LFMI;257610000
LEVK;257003990
LERB;257104180
LGAZ;257113250
LGGC;257094490
LFPE;257122130
LDUX;257567500
LFGW;257032830
LFWP;257127360
LGIE;257127080
LFNX;257640000
LFUZ;257622000
LDGQ;257048070
LFYJ;257124880
LFKW;257609000
LGSJ;258003460
LFVX;257704000
LAHU8;257621000
LFNJ;257676000
LFYY;257770000
LFVL;257124410
LFVI;258013740
LFXX;257700000
LGKP;258019130
LGDO;257788000
LGJY;258015000
LKDQ;257166000
LGOO;259007700
LGGL;258020910
LGZZ;258325000
LHCA;259236000
LGPO;258025150
JXPZ;258040000
JXQO;259014300
LECR;257843000
JXSW;257060500
LFNM;259108000
LGDZ;259141000
JXRX;257106000
LGAS;257922000
LCGV;258559000
LCGQ;259017500
JXUE;258116000
LHBM;257122000
LGGR;258019000
LHAP;259015900
JXUM;257159000
LGVG;257394500
LGXS;257153000
LGNJ;257127870
LFCI;258026840
LHBQ;257097800
JXTX;258829000
LAPM8;257900000
LAPW8;257918000
JXVT;257278000
LGOQ;257127990
LGSH;257129340
JXNX;258154000
LFGR;257064260
JXUK;258030600
JXXI;257442000
LGYF;259026900
JXMP;259028000
LJLI;258224000
LHBV;257485000
LHBX;257543000
LGYR;244000000
JXSR;259765000
JXUG;331817000
